YYYYDDD   IMG-GMT  SITE-GMT    TAU-ln     TAU-ln    TAU-lin    TAU-lin 
(julday)  (hhmmss)  (fra-dy)       ice        ice        ice        ice 
      -         -         -      mean       mean      sigma      sigma 
      -         -         -      20km       10km       20km       10km 
      -         -         -      (--)       (--)       (--)       (--) 
--------  --------  --------  --------   --------   --------   -------- 
2012282    220000  282.9203   -99.0000   -99.0000   -99.0000   -99.0000 
2012282    230000  282.9620   -99.0000   -99.0000   -99.0000   -99.0000 
2012282    233000  282.9828   -99.0000   -99.0000   -99.0000   -99.0000 
2012283         0  283.0046   -99.0000   -99.0000   -99.0000   -99.0000 
2012283      3000  283.0245   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     10000  283.0453   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     13000  283.0662   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     20000  283.0870   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     53000  283.2329   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     60000  283.2547   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     63000  283.2746   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     70000  283.2954   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     73000  283.3163   -99.0000   -99.0000   -99.0000   -99.0000 
2012283     80000  283.3371   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    113000  283.4830     0.6500   -99.0000   -99.0000   -99.0000 
2012283    120000  283.5048   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    123000  283.5246   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    130000  283.5455   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    133000  283.5663   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    140000  283.5872   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    143000  283.6080   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    150000  283.6299   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    153000  283.6497     1.0600     1.0700     0.2600     0.2700 
2012283    160000  283.6705     1.1200     1.0300     0.4500   -99.0000 
2012283    163000  283.6914   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    170000  283.7122   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    173000  283.7331     0.0800   -99.0000     0.0300   -99.0000 
2012283    180000  283.7549     0.0700     0.0700   -99.0000   -99.0000 
2012283    183000  283.7747   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    190000  283.7956     0.0500     0.0500     0.0100     0.0000 
2012283    193000  283.8164     0.0500   -99.0000   -99.0000   -99.0000 
2012283    200000  283.8372     0.5500     0.4000     0.2800     0.1900 
2012283    203000  283.8581     0.5900     0.4700     0.4200     0.2900 
2012283    210000  283.8800   -99.0000   -99.0000   -99.0000   -99.0000 
2012283    213000  283.8998     0.2900   -99.0000     0.0800   -99.0000 
2012283    220000  283.9206     0.3000     0.1800     0.2200     0.1200 
2012283    223000  283.9415     0.3700     0.4700     0.2700     0.2700 
2012283    230000  283.9623     0.2900     0.5300     0.2500   -99.0000 
2012283    233000  283.9832     0.3900     0.4400     0.2100     0.1400 
2012284         0  284.0050     0.6600     0.7900     0.3300     0.4200 
2012284      3000  284.0248     0.4800     0.3300     0.2600     0.1500 
2012284     10000  284.0457     0.6400     0.6000     0.1900     0.1900 
2012284     13000  284.0665     0.6300     0.5800     0.3200     0.2900 
2012284     20000  284.0873     0.5100     0.4400     0.3000     0.1200 
2012284     23000  284.1082   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     30000  284.1301   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     33000  284.1499   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     40000  284.1707   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     43000  284.1916   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     50000  284.2124   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     53000  284.2332   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     60000  284.2551   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     63000  284.2749   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     70000  284.2958   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     73000  284.3166   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     80000  284.3374   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     83000  284.3583   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     90000  284.3802   -99.0000   -99.0000   -99.0000   -99.0000 
2012284     93000  284.4000   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    100000  284.4208   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    103000  284.4417   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    113000  284.4833   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    120000  284.5052   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    170000  284.7126   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    173000  284.7334   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    180000  284.7554     0.0700   -99.0000   -99.0000   -99.0000 
2012284    183000  284.7751     0.0900   -99.0000     0.0300   -99.0000 
2012284    190000  284.7959   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    193000  284.8168   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    200000  284.8376   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    203000  284.8585   -99.0000   -99.0000   -99.0000   -99.0000 
